medium	description	compound	name
RCH2	RCH2 with glucose	cl	Cl-
RCH2	RCH2 with glucose	nh4	Ammonium
RCH2	RCH2 with glucose	k	K+
RCH2	RCH2 with glucose	pi	Phosphate
RCH2	RCH2 with glucose	na1	Sodium
RCH2	RCH2 with glucose	h2o	H2O
RCH2	RCH2 with glucose	mg2	Mg2+
RCH2	RCH2 with glucose	so4	Sulfate
RCH2	RCH2 with glucose	no3	Nitrate
RCH2	RCH2 with glucose	mn2	Mn2+
RCH2	RCH2 with glucose	cobalt2	Co2+
RCH2	RCH2 with glucose	zn2	Zn2+
RCH2	RCH2 with glucose	ca2	Ca2+
RCH2	RCH2 with glucose	fe2	Fe2+
RCH2	RCH2 with glucose	ni2	Nickel
RCH2	RCH2 with glucose	cu2	Copper
RCH2	RCH2 with glucose	mobd	Molybdate
RCH2	RCH2 with glucose	slnt	Selenite
RCH2	RCH2 with glucose	pydxn	Pyridoxine
RCH2	RCH2 with glucose	4abz	4-Aminobenzoate
RCH2	RCH2 with glucose	lipoate	Lipoate
RCH2	RCH2 with glucose	nac	Nicotinate
RCH2	RCH2 with glucose	ribflv	Riboflavin
RCH2	RCH2 with glucose	thm	Thiamin
RCH2	RCH2 with glucose	btn	Biotin
RCH2	RCH2 with glucose	fol	Folate
RCH2	RCH2 with glucose	glc__D	D-Glucose
RCH2	RCH2 with glucose	h	H+
RCH2	RCH2 with glucose	o2	O2
